1747351457 LOGGER STARTED
Sample #28, Timestamp: 1747351496, CPU_Temperature: 61°C, cpu0: 3642672kHz, cpu1: 3642679kHz, cpu10: 3641103kHz, cpu11: 3641190kHz, cpu2: 3642687kHz, cpu3: 3642328kHz, cpu4: 3639979kHz, cpu5: 3641820kHz, cpu6: 3642670kHz, cpu7: 3642665kHz, cpu8: 3645873kHz, cpu9: 3642548kHz, 
Sample #29, Timestamp: 1747351497, CPU_Temperature: 61°C, cpu0: 3642679kHz, cpu1: 3642692kHz, cpu10: 3641928kHz, cpu11: 3642215kHz, cpu2: 3642698kHz, cpu3: 3642383kHz, cpu4: 3639243kHz, cpu5: 3642444kHz, cpu6: 3642695kHz, cpu7: 3642687kHz, cpu8: 3642690kHz, cpu9: 3642326kHz, 
Sample #30, Timestamp: 1747351499, CPU_Temperature: 61°C, cpu0: 3642683kHz, cpu1: 3642695kHz, cpu10: 3642673kHz, cpu11: 3642695kHz, cpu2: 3642679kHz, cpu3: 3642497kHz, cpu4: 3641875kHz, cpu5: 3642686kHz, cpu6: 3642678kHz, cpu7: 3642667kHz, cpu8: 3642686kHz, cpu9: 3642493kHz, 
Sample #31, Timestamp: 1747351501, CPU_Temperature: 61°C, cpu0: 3642663kHz, cpu1: 3642678kHz, cpu10: 3642009kHz, cpu11: 3642688kHz, cpu2: 3642690kHz, cpu3: 3642099kHz, cpu4: 3641686kHz, cpu5: 3641708kHz, cpu6: 3642686kHz, cpu7: 3642677kHz, cpu8: 3642679kHz, cpu9: 3642540kHz, 
Sample #32, Timestamp: 1747351502, CPU_Temperature: 61°C, cpu0: 3642674kHz, cpu1: 3642686kHz, cpu10: 3640893kHz, cpu11: 3642118kHz, cpu2: 3642685kHz, cpu3: 3642670kHz, cpu4: 3642208kHz, cpu5: 3642380kHz, cpu6: 3642682kHz, cpu7: 3642693kHz, cpu8: 3642675kHz, cpu9: 3642462kHz, 
Sample #33, Timestamp: 1747351504, CPU_Temperature: 61°C, cpu0: 3642686kHz, cpu1: 3642683kHz, cpu10: 3640444kHz, cpu11: 3642674kHz, cpu2: 3642681kHz, cpu3: 3642422kHz, cpu4: 3642163kHz, cpu5: 3642253kHz, cpu6: 3642698kHz, cpu7: 3642681kHz, cpu8: 3642666kHz, cpu9: 3641947kHz, 
Sample #34, Timestamp: 1747351506, CPU_Temperature: 61°C, cpu0: 3642681kHz, cpu1: 3642682kHz, cpu10: 3641308kHz, cpu11: 3642683kHz, cpu2: 3642679kHz, cpu3: 3642108kHz, cpu4: 3641863kHz, cpu5: 3642687kHz, cpu6: 3642692kHz, cpu7: 3642668kHz, cpu8: 3642680kHz, cpu9: 3642347kHz, 
Sample #35, Timestamp: 1747351507, CPU_Temperature: 61°C, cpu0: 3642691kHz, cpu1: 3642688kHz, cpu10: 3641204kHz, cpu11: 3642683kHz, cpu2: 3642683kHz, cpu3: 3642445kHz, cpu4: 3642275kHz, cpu5: 3642552kHz, cpu6: 3642670kHz, cpu7: 3642685kHz, cpu8: 3642690kHz, cpu9: 3642636kHz, 
Sample #36, Timestamp: 1747351509, CPU_Temperature: 61°C, cpu0: 3642669kHz, cpu1: 3642679kHz, cpu10: 3642486kHz, cpu11: 3642685kHz, cpu2: 3642679kHz, cpu3: 3642535kHz, cpu4: 3642686kHz, cpu5: 3642693kHz, cpu6: 3642684kHz, cpu7: 3642682kHz, cpu8: 3642680kHz, cpu9: 3642416kHz, 
Sample #37, Timestamp: 1747351510, CPU_Temperature: 62°C, cpu0: 3642686kHz, cpu1: 3642687kHz, cpu10: 3641084kHz, cpu11: 3642685kHz, cpu2: 3642680kHz, cpu3: 3642488kHz, cpu4: 3640891kHz, cpu5: 3642631kHz, cpu6: 3642673kHz, cpu7: 3642677kHz, cpu8: 3642678kHz, cpu9: 3642593kHz, 
Sample #38, Timestamp: 1747351510, CPU_Temperature: 62°C, cpu0: 3642664kHz, cpu1: 3642686kHz, cpu10: 3641254kHz, cpu11: 3642669kHz, cpu2: 3642687kHz, cpu3: 3642409kHz, cpu4: 3641268kHz, cpu5: 3642267kHz, cpu6: 3642670kHz, cpu7: 3642679kHz, cpu8: 3642688kHz, cpu9: 3642573kHz, 
Sample #39, Timestamp: 1747351510, CPU_Temperature: 62°C, cpu0: 3642681kHz, cpu1: 3642687kHz, cpu10: 3642611kHz, cpu11: 3642689kHz, cpu2: 3642675kHz, cpu3: 3642202kHz, cpu4: 3641084kHz, cpu5: 3642309kHz, cpu6: 3642689kHz, cpu7: 3642681kHz, cpu8: 3642679kHz, cpu9: 3641846kHz, 
1747351511 LOGGER STOPPED
