Current CPU threads: 32
Test duration: 30 seconds
=== Scheduler Context Switching Test ===

Sleeping for 5 seconds before running pidstat...

>>> [2/2] Measuring per-thread context switches with pidstat -w -t
Starting stress-ng again for detailed tracking...

--- pidstat -w -t output ---
Linux 6.12.19-amd64 (pavlik) 	05/01/2025 	_x86_64_	(32 CPU)

10:09:08 PM   UID      TGID       TID   cswch/s nvcswch/s  Command
10:09:09 PM  1000         -      6818      0.81      0.00  |__code
10:09:09 PM  1000         -      6863      2.44      0.00  |__code
10:09:09 PM  1000         -      6904      1.63      0.00  |__code
10:09:09 PM  1000      6917         -      0.81      0.00  code
10:09:09 PM  1000         -      6917      0.81      0.00  |__code
10:09:09 PM  1000      7855      7857      1.63      0.00  (sd_dummy)__threaded-ml
10:09:09 PM     0      8487         -      0.81      0.00  kworker/23:2-mm_percpu_wq
10:09:09 PM     0         -      8487      0.81      0.00  |__kworker/23:2-mm_percpu_wq
10:09:09 PM  1000     11302         -      0.81      0.00  Isolated Web Co
10:09:09 PM  1000         -     11302      0.81      0.00  |__Isolated Web Co
10:09:09 PM  1000         -     11315      0.81      0.00  |__JS Watchdog
10:09:09 PM  1000         -     11317      0.81      0.00  |__Timer
10:09:09 PM     0     12256         -      0.81      0.00  kworker/10:2-mm_percpu_wq
10:09:09 PM     0         -     12256      0.81      0.00  |__kworker/10:2-mm_percpu_wq
10:09:09 PM     0     19577         -      1.63      0.00  kworker/5:0-mm_percpu_wq
10:09:09 PM     0         -     19577      1.63      0.00  |__kworker/5:0-mm_percpu_wq
10:09:09 PM     0     27090         -      2.44      0.00  kworker/3:1-mm_percpu_wq
10:09:09 PM     0         -     27090      2.44      0.00  |__kworker/3:1-mm_percpu_wq
10:09:09 PM  1000     31237         -      0.81      0.00  Isolated Web Co
10:09:09 PM  1000         -     31237      0.81      0.00  |__Isolated Web Co
10:09:09 PM  1000         -     31251      0.81      0.00  |__JS Watchdog
10:09:09 PM  1000         -     31255      1.63      0.00  |__Timer
10:09:09 PM  1000     31344         -      2.44      0.00  Isolated Web Co
10:09:09 PM  1000         -     31344      2.44      0.00  |__Isolated Web Co
10:09:09 PM  1000         -     31355      0.81      0.00  |__IPC I/O Child
10:09:09 PM  1000         -     31364      0.81      0.00  |__JS Watchdog
10:09:09 PM  1000         -     31366      2.44      0.00  |__Timer
10:09:09 PM     0     33690         -      2.44      0.00  kworker/11:2-events
10:09:09 PM     0         -     33690      2.44      0.00  |__kworker/11:2-events
10:09:09 PM  1000     34535         -      0.81      0.00  Isolated Web Co
10:09:09 PM  1000         -     34535      0.81      0.00  |__Isolated Web Co
10:09:09 PM  1000         -     34548      0.81      0.00  |__JS Watchdog
