1747349641 LOGGER STARTED
Sample #27, Timestamp: 1747349670, CPU_Temperature: 62°C, cpu0: 3642663kHz, cpu1: 3642665kHz, cpu10: 3642671kHz, cpu11: 3642663kHz, cpu2: 3642670kHz, cpu3: 3642658kHz, cpu4: 3642352kHz, cpu5: 3642665kHz, cpu6: 3642669kHz, cpu7: 3642732kHz, cpu8: 3642667kHz, cpu9: 3642511kHz, 
Sample #28, Timestamp: 1747349670, CPU_Temperature: 62°C, cpu0: 3642667kHz, cpu1: 3642666kHz, cpu10: 3642618kHz, cpu11: 3642675kHz, cpu2: 3642669kHz, cpu3: 3642663kHz, cpu4: 3642429kHz, cpu5: 3642672kHz, cpu6: 3642658kHz, cpu7: 3642678kHz, cpu8: 3642664kHz, cpu9: 3642271kHz, 
Sample #29, Timestamp: 1747349671, CPU_Temperature: 62°C, cpu0: 3642666kHz, cpu1: 3642666kHz, cpu10: 3642418kHz, cpu11: 3642669kHz, cpu2: 3642667kHz, cpu3: 3642261kHz, cpu4: 3642598kHz, cpu5: 3642657kHz, cpu6: 3642682kHz, cpu7: 3642675kHz, cpu8: 3642658kHz, cpu9: 3642673kHz, 
Sample #30, Timestamp: 1747349672, CPU_Temperature: 62°C, cpu0: 3642684kHz, cpu1: 3642672kHz, cpu10: 3642660kHz, cpu11: 3642658kHz, cpu2: 3642668kHz, cpu3: 3642565kHz, cpu4: 3642565kHz, cpu5: 3642668kHz, cpu6: 3642665kHz, cpu7: 3642673kHz, cpu8: 3642662kHz, cpu9: 3642222kHz, 
Sample #31, Timestamp: 1747349672, CPU_Temperature: 62°C, cpu0: 3642664kHz, cpu1: 3642679kHz, cpu10: 3642658kHz, cpu11: 3642663kHz, cpu2: 3642673kHz, cpu3: 3642033kHz, cpu4: 3642667kHz, cpu5: 3642660kHz, cpu6: 3642661kHz, cpu7: 3642661kHz, cpu8: 3642671kHz, cpu9: 3642534kHz, 
Sample #32, Timestamp: 1747349672, CPU_Temperature: 62°C, cpu0: 3642663kHz, cpu1: 3642672kHz, cpu10: 3642401kHz, cpu11: 3642672kHz, cpu2: 3642666kHz, cpu3: 3642338kHz, cpu4: 3642602kHz, cpu5: 3642673kHz, cpu6: 3642669kHz, cpu7: 3642671kHz, cpu8: 3642657kHz, cpu9: 3642340kHz, 
Sample #33, Timestamp: 1747349673, CPU_Temperature: 62°C, cpu0: 3642665kHz, cpu1: 3642666kHz, cpu10: 3642670kHz, cpu11: 3642665kHz, cpu2: 3642666kHz, cpu3: 3642178kHz, cpu4: 3642656kHz, cpu5: 3642673kHz, cpu6: 3642659kHz, cpu7: 3642668kHz, cpu8: 3642669kHz, cpu9: 3642663kHz, 
Sample #34, Timestamp: 1747349674, CPU_Temperature: 62°C, cpu0: 3642670kHz, cpu1: 3642665kHz, cpu10: 3642601kHz, cpu11: 3642659kHz, cpu2: 3642666kHz, cpu3: 3642089kHz, cpu4: 3642142kHz, cpu5: 3642667kHz, cpu6: 3642661kHz, cpu7: 3642670kHz, cpu8: 3642669kHz, cpu9: 3642678kHz, 
Sample #35, Timestamp: 1747349675, CPU_Temperature: 62°C, cpu0: 3642658kHz, cpu1: 3642675kHz, cpu10: 3642651kHz, cpu11: 3642657kHz, cpu2: 3642661kHz, cpu3: 3642520kHz, cpu4: 3642666kHz, cpu5: 3642666kHz, cpu6: 3642663kHz, cpu7: 3642651kHz, cpu8: 3642663kHz, cpu9: 3642581kHz, 
Sample #36, Timestamp: 1747349676, CPU_Temperature: 62°C, cpu0: 3642664kHz, cpu1: 3642671kHz, cpu10: 3642681kHz, cpu11: 3642676kHz, cpu2: 3642676kHz, cpu3: 3642677kHz, cpu4: 3642064kHz, cpu5: 3642669kHz, cpu6: 3642673kHz, cpu7: 3642667kHz, cpu8: 3642669kHz, cpu9: 3642448kHz, 
Sample #37, Timestamp: 1747349676, CPU_Temperature: 62°C, cpu0: 3642664kHz, cpu1: 3642667kHz, cpu10: 3642674kHz, cpu11: 3642436kHz, cpu2: 3642662kHz, cpu3: 3642665kHz, cpu4: 3642674kHz, cpu5: 3642578kHz, cpu6: 3642666kHz, cpu7: 3642676kHz, cpu8: 3642665kHz, cpu9: 3642658kHz, 
Sample #38, Timestamp: 1747349677, CPU_Temperature: 62°C, cpu0: 3642662kHz, cpu1: 3642671kHz, cpu10: 3642564kHz, cpu11: 3642659kHz, cpu2: 3642656kHz, cpu3: 3642671kHz, cpu4: 3642669kHz, cpu5: 3642666kHz, cpu6: 3642655kHz, cpu7: 3642665kHz, cpu8: 3642672kHz, cpu9: 3642455kHz, 
Sample #39, Timestamp: 1747349677, CPU_Temperature: 62°C, cpu0: 3642680kHz, cpu1: 3642662kHz, cpu10: 3642665kHz, cpu11: 3642666kHz, cpu2: 3642666kHz, cpu3: 3642663kHz, cpu4: 3642289kHz, cpu5: 3642671kHz, cpu6: 3642675kHz, cpu7: 3642674kHz, cpu8: 3642665kHz, cpu9: 3642668kHz, 
Sample #40, Timestamp: 1747349678, CPU_Temperature: 62°C, cpu0: 3642656kHz, cpu1: 3642672kHz, cpu10: 3642674kHz, cpu11: 3642661kHz, cpu2: 3642679kHz, cpu3: 3642176kHz, cpu4: 3642583kHz, cpu5: 3642665kHz, cpu6: 3642669kHz, cpu7: 3642663kHz, cpu8: 3642676kHz, cpu9: 3642594kHz, 
Sample #41, Timestamp: 1747349679, CPU_Temperature: 62°C, cpu0: 3642668kHz, cpu1: 3642669kHz, cpu10: 3642416kHz, cpu11: 3642664kHz, cpu2: 3642666kHz, cpu3: 3642123kHz, cpu4: 3642675kHz, cpu5: 3642657kHz, cpu6: 3642673kHz, cpu7: 3642670kHz, cpu8: 3642657kHz, cpu9: 3641838kHz, 
Sample #42, Timestamp: 1747349680, CPU_Temperature: 62°C, cpu0: 3642649kHz, cpu1: 3642672kHz, cpu10: 3642352kHz, cpu11: 3642659kHz, cpu2: 3642669kHz, cpu3: 3642510kHz, cpu4: 3642534kHz, cpu5: 3642668kHz, cpu6: 3642680kHz, cpu7: 3642667kHz, cpu8: 3642655kHz, cpu9: 3642606kHz, 
Sample #43, Timestamp: 1747349680, CPU_Temperature: 62°C, cpu0: 3642671kHz, cpu1: 3642677kHz, cpu10: 3642588kHz, cpu11: 3642678kHz, cpu2: 3642668kHz, cpu3: 3642474kHz, cpu4: 3642675kHz, cpu5: 3642670kHz, cpu6: 3642669kHz, cpu7: 3642676kHz, cpu8: 3642668kHz, cpu9: 3642673kHz, 
Sample #44, Timestamp: 1747349681, CPU_Temperature: 62°C, cpu0: 3642666kHz, cpu1: 3642674kHz, cpu10: 3642617kHz, cpu11: 3642660kHz, cpu2: 3642670kHz, cpu3: 3642665kHz, cpu4: 3642672kHz, cpu5: 3642679kHz, cpu6: 3642664kHz, cpu7: 3642678kHz, cpu8: 3642673kHz, cpu9: 3641624kHz, 
Sample #45, Timestamp: 1747349682, CPU_Temperature: 62°C, cpu0: 3642671kHz, cpu1: 3642658kHz, cpu10: 3642662kHz, cpu11: 3642673kHz, cpu2: 3642663kHz, cpu3: 3642569kHz, cpu4: 3641755kHz, cpu5: 3642663kHz, cpu6: 3642667kHz, cpu7: 3642657kHz, cpu8: 3642666kHz, cpu9: 3642673kHz, 
Sample #46, Timestamp: 1747349683, CPU_Temperature: 63°C, cpu0: 3642678kHz, cpu1: 3642678kHz, cpu10: 3642670kHz, cpu11: 3642663kHz, cpu2: 3642665kHz, cpu3: 3642673kHz, cpu4: 3642459kHz, cpu5: 3642675kHz, cpu6: 3642671kHz, cpu7: 3642655kHz, cpu8: 3642662kHz, cpu9: 3642667kHz, 
Sample #47, Timestamp: 1747349683, CPU_Temperature: 63°C, cpu0: 3642670kHz, cpu1: 3642668kHz, cpu10: 3642389kHz, cpu11: 3642661kHz, cpu2: 3642666kHz, cpu3: 3642668kHz, cpu4: 3641685kHz, cpu5: 3642667kHz, cpu6: 3642661kHz, cpu7: 3642672kHz, cpu8: 3642676kHz, cpu9: 3642658kHz, 
Sample #48, Timestamp: 1747349684, CPU_Temperature: 63°C, cpu0: 3642656kHz, cpu1: 3642669kHz, cpu10: 3642660kHz, cpu11: 3642676kHz, cpu2: 3642665kHz, cpu3: 3642520kHz, cpu4: 3642628kHz, cpu5: 3642658kHz, cpu6: 3642672kHz, cpu7: 3642671kHz, cpu8: 3642667kHz, cpu9: 3642364kHz, 
Sample #49, Timestamp: 1747349685, CPU_Temperature: 63°C, cpu0: 3642668kHz, cpu1: 3642663kHz, cpu10: 3642669kHz, cpu11: 3642663kHz, cpu2: 3642661kHz, cpu3: 3642604kHz, cpu4: 3642243kHz, cpu5: 3642677kHz, cpu6: 3642674kHz, cpu7: 3642674kHz, cpu8: 3642671kHz, cpu9: 3642271kHz, 
Sample #50, Timestamp: 1747349685, CPU_Temperature: 63°C, cpu0: 3642668kHz, cpu1: 3642673kHz, cpu10: 3641982kHz, cpu11: 3642681kHz, cpu2: 3642656kHz, cpu3: 3642666kHz, cpu4: 3642494kHz, cpu5: 3642658kHz, cpu6: 3642660kHz, cpu7: 3642669kHz, cpu8: 3642651kHz, cpu9: 3642559kHz, 
Sample #51, Timestamp: 1747349685, CPU_Temperature: 63°C, cpu0: 3642669kHz, cpu1: 3642660kHz, cpu10: 3641547kHz, cpu11: 3642674kHz, cpu2: 3642659kHz, cpu3: 3642663kHz, cpu4: 3642405kHz, cpu5: 3642663kHz, cpu6: 3642664kHz, cpu7: 3642654kHz, cpu8: 3642662kHz, cpu9: 3642653kHz, 
