1747353482 LOGGER STARTED
Sample #27, Timestamp: 1747353518, CPU_Temperature: 61°C, cpu0: 3642686kHz, cpu1: 3642684kHz, cpu10: 3642667kHz, cpu11: 3642681kHz, cpu2: 3642674kHz, cpu3: 3641983kHz, cpu4: 3642685kHz, cpu5: 3642675kHz, cpu6: 3642687kHz, cpu7: 3642670kHz, cpu8: 3642681kHz, cpu9: 3641502kHz, 
Sample #28, Timestamp: 1747353520, CPU_Temperature: 61°C, cpu0: 3642690kHz, cpu1: 3642692kHz, cpu10: 3641453kHz, cpu11: 3642693kHz, cpu2: 3642691kHz, cpu3: 3642695kHz, cpu4: 3642561kHz, cpu5: 3642695kHz, cpu6: 3642703kHz, cpu7: 3642682kHz, cpu8: 3642685kHz, cpu9: 3642683kHz, 
Sample #29, Timestamp: 1747353521, CPU_Temperature: 61°C, cpu0: 3642682kHz, cpu1: 3642688kHz, cpu10: 3641919kHz, cpu11: 3642683kHz, cpu2: 3642697kHz, cpu3: 3642341kHz, cpu4: 3642673kHz, cpu5: 3642686kHz, cpu6: 3642686kHz, cpu7: 3642693kHz, cpu8: 3642685kHz, cpu9: 3642173kHz, 
Sample #30, Timestamp: 1747353523, CPU_Temperature: 61°C, cpu0: 3642684kHz, cpu1: 3642681kHz, cpu10: 3642675kHz, cpu11: 3642687kHz, cpu2: 3642697kHz, cpu3: 3641984kHz, cpu4: 3642626kHz, cpu5: 3642678kHz, cpu6: 3642660kHz, cpu7: 3642695kHz, cpu8: 3642682kHz, cpu9: 3642041kHz, 
Sample #31, Timestamp: 1747353525, CPU_Temperature: 61°C, cpu0: 3642685kHz, cpu1: 3642684kHz, cpu10: 3641832kHz, cpu11: 3642689kHz, cpu2: 3642686kHz, cpu3: 3642013kHz, cpu4: 3642096kHz, cpu5: 3642678kHz, cpu6: 3642687kHz, cpu7: 3642684kHz, cpu8: 3642682kHz, cpu9: 3642676kHz, 
Sample #32, Timestamp: 1747353526, CPU_Temperature: 61°C, cpu0: 3642688kHz, cpu1: 3642682kHz, cpu10: 3642682kHz, cpu11: 3642295kHz, cpu2: 3642685kHz, cpu3: 3642293kHz, cpu4: 3642162kHz, cpu5: 3642156kHz, cpu6: 3642690kHz, cpu7: 3642693kHz, cpu8: 3642684kHz, cpu9: 3642675kHz, 
Sample #33, Timestamp: 1747353528, CPU_Temperature: 61°C, cpu0: 3642683kHz, cpu1: 3642679kHz, cpu10: 3642350kHz, cpu11: 3642663kHz, cpu2: 3642668kHz, cpu3: 3642003kHz, cpu4: 3641512kHz, cpu5: 3642683kHz, cpu6: 3642691kHz, cpu7: 3642686kHz, cpu8: 3642690kHz, cpu9: 3642143kHz, 
Sample #34, Timestamp: 1747353529, CPU_Temperature: 61°C, cpu0: 3642685kHz, cpu1: 3642688kHz, cpu10: 3642072kHz, cpu11: 3642676kHz, cpu2: 3642677kHz, cpu3: 3641837kHz, cpu4: 3641727kHz, cpu5: 3642702kHz, cpu6: 3642693kHz, cpu7: 3642673kHz, cpu8: 3642675kHz, cpu9: 3641701kHz, 
Sample #35, Timestamp: 1747353531, CPU_Temperature: 61°C, cpu0: 3642683kHz, cpu1: 3642683kHz, cpu10: 3641287kHz, cpu11: 3642231kHz, cpu2: 3642691kHz, cpu3: 3641588kHz, cpu4: 3642688kHz, cpu5: 3642671kHz, cpu6: 3642686kHz, cpu7: 3642684kHz, cpu8: 3642669kHz, cpu9: 3642265kHz, 
Sample #36, Timestamp: 1747353532, CPU_Temperature: 61°C, cpu0: 3642693kHz, cpu1: 3642675kHz, cpu10: 3641719kHz, cpu11: 3642681kHz, cpu2: 3642694kHz, cpu3: 3640979kHz, cpu4: 3642230kHz, cpu5: 3642674kHz, cpu6: 3642679kHz, cpu7: 3642685kHz, cpu8: 3642694kHz, cpu9: 3642035kHz, 
Sample #37, Timestamp: 1747353534, CPU_Temperature: 61°C, cpu0: 3642679kHz, cpu1: 3642681kHz, cpu10: 3641929kHz, cpu11: 3641867kHz, cpu2: 3642681kHz, cpu3: 3642003kHz, cpu4: 3642186kHz, cpu5: 3642682kHz, cpu6: 3642689kHz, cpu7: 3642678kHz, cpu8: 3642686kHz, cpu9: 3642590kHz, 
Sample #38, Timestamp: 1747353535, CPU_Temperature: 61°C, cpu0: 3642678kHz, cpu1: 3642683kHz, cpu10: 3642442kHz, cpu11: 3642671kHz, cpu2: 3642671kHz, cpu3: 3642376kHz, cpu4: 3642287kHz, cpu5: 3642452kHz, cpu6: 3642680kHz, cpu7: 3642676kHz, cpu8: 3642678kHz, cpu9: 3642116kHz, 
Sample #39, Timestamp: 1747353536, CPU_Temperature: 62°C, cpu0: 3642664kHz, cpu1: 3642675kHz, cpu10: 3641942kHz, cpu11: 3642689kHz, cpu2: 3642677kHz, cpu3: 3641728kHz, cpu4: 3641738kHz, cpu5: 3642688kHz, cpu6: 3642676kHz, cpu7: 3642684kHz, cpu8: 3642679kHz, cpu9: 3642685kHz, 
Sample #40, Timestamp: 1747353536, CPU_Temperature: 62°C, cpu0: 3642687kHz, cpu1: 3642669kHz, cpu10: 3641779kHz, cpu11: 3642686kHz, cpu2: 3642679kHz, cpu3: 3641788kHz, cpu4: 3642237kHz, cpu5: 3642693kHz, cpu6: 3642680kHz, cpu7: 3642692kHz, cpu8: 3642680kHz, cpu9: 3641419kHz, 
1747353537 LOGGER STOPPED
