1748101845 LOGGER STARTED
Sample #22, Timestamp: 1748101854, CPU_Temperature: 62°C, cpu0: 4360515kHz, cpu1: 4316946kHz, cpu10: 4316948kHz, cpu11: 4323072kHz, cpu12: 4310434kHz, cpu13: 4304466kHz, cpu14: 4335716kHz, cpu15: 4286252kHz, cpu16: 4298518kHz, cpu17: 4292006kHz, cpu18: 4316301kHz, cpu19: 4321514kHz, cpu2: 4312214kHz, cpu20: 4309450kHz, cpu21: 4321995kHz, cpu22: 4273127kHz, cpu23: 4320216kHz, cpu24: 4316961kHz, cpu25: 4290274kHz, cpu26: 4387359kHz, cpu27: 4327209kHz, cpu28: 4316952kHz, cpu29: 4295947kHz, cpu3: 4292001kHz, cpu30: 4291999kHz, cpu31: 4304353kHz, cpu4: 4331165kHz, cpu5: 4316962kHz, cpu6: 4289032kHz, cpu7: 4288935kHz, cpu8: 4294962kHz, cpu9: 4298073kHz, 
Sample #23, Timestamp: 1748101855, CPU_Temperature: 62°C, cpu0: 4313954kHz, cpu1: 4395215kHz, cpu10: 4327003kHz, cpu11: 4272056kHz, cpu12: 4316952kHz, cpu13: 4346656kHz, cpu14: 4389396kHz, cpu15: 4273607kHz, cpu16: 4310951kHz, cpu17: 4291776kHz, cpu18: 4292002kHz, cpu19: 4279370kHz, cpu2: 4303942kHz, cpu20: 4267319kHz, cpu21: 4290864kHz, cpu22: 4336883kHz, cpu23: 4355079kHz, cpu24: 4303453kHz, cpu25: 4370728kHz, cpu26: 4304269kHz, cpu27: 4310522kHz, cpu28: 4316962kHz, cpu29: 4291994kHz, cpu3: 4318585kHz, cpu30: 4349858kHz, cpu31: 4331119kHz, cpu4: 4316938kHz, cpu5: 4300314kHz, cpu6: 4302104kHz, cpu7: 4320665kHz, cpu8: 4330524kHz, cpu9: 4368564kHz, 
Sample #24, Timestamp: 1748101855, CPU_Temperature: 62°C, cpu0: 4308478kHz, cpu1: 4321165kHz, cpu10: 4316953kHz, cpu11: 4291989kHz, cpu12: 4334090kHz, cpu13: 4290539kHz, cpu14: 4309364kHz, cpu15: 4279359kHz, cpu16: 4316918kHz, cpu17: 4291993kHz, cpu18: 4310633kHz, cpu19: 4316298kHz, cpu2: 4291990kHz, cpu20: 4310293kHz, cpu21: 4316439kHz, cpu22: 4347867kHz, cpu23: 4298079kHz, cpu24: 4298091kHz, cpu25: 4304363kHz, cpu26: 4292467kHz, cpu27: 4285625kHz, cpu28: 4316947kHz, cpu29: 4278511kHz, cpu3: 4279354kHz, cpu30: 4335177kHz, cpu31: 4291997kHz, cpu4: 4322998kHz, cpu5: 4316952kHz, cpu6: 4305929kHz, cpu7: 4292004kHz, cpu8: 4290078kHz, cpu9: 4308584kHz, 
Sample #25, Timestamp: 1748101856, CPU_Temperature: 62°C, cpu0: 4320386kHz, cpu1: 4307886kHz, cpu10: 4312904kHz, cpu11: 4320761kHz, cpu12: 4296059kHz, cpu13: 4296138kHz, cpu14: 4304393kHz, cpu15: 4293584kHz, cpu16: 4316947kHz, cpu17: 4324485kHz, cpu18: 4311842kHz, cpu19: 4342849kHz, cpu2: 4311532kHz, cpu20: 4286390kHz, cpu21: 4366311kHz, cpu22: 4310267kHz, cpu23: 4329311kHz, cpu24: 4279358kHz, cpu25: 4366530kHz, cpu26: 4329259kHz, cpu27: 4292157kHz, cpu28: 4298537kHz, cpu29: 4322591kHz, cpu3: 4405182kHz, cpu30: 4329337kHz, cpu31: 4348027kHz, cpu4: 4341905kHz, cpu5: 4454931kHz, cpu6: 4310627kHz, cpu7: 4292000kHz, cpu8: 4324752kHz, cpu9: 4316949kHz, 
Sample #26, Timestamp: 1748101856, CPU_Temperature: 62°C, cpu0: 4498705kHz, cpu1: 4298115kHz, cpu10: 4316949kHz, cpu11: 4294242kHz, cpu12: 4291985kHz, cpu13: 4325064kHz, cpu14: 4325052kHz, cpu15: 4325239kHz, cpu16: 4292001kHz, cpu17: 4291984kHz, cpu18: 4319566kHz, cpu19: 4312260kHz, cpu2: 4323087kHz, cpu20: 4293159kHz, cpu21: 4309513kHz, cpu22: 4292000kHz, cpu23: 4316939kHz, cpu24: 4309977kHz, cpu25: 4291995kHz, cpu26: 4416068kHz, cpu27: 4341081kHz, cpu28: 4316945kHz, cpu29: 4316942kHz, cpu3: 4292002kHz, cpu30: 4316952kHz, cpu31: 4310819kHz, cpu4: 4355193kHz, cpu5: 4317465kHz, cpu6: 4311927kHz, cpu7: 4312257kHz, cpu8: 4292002kHz, cpu9: 4286692kHz, 
Sample #27, Timestamp: 1748101857, CPU_Temperature: 62°C, cpu0: 4326976kHz, cpu1: 4339293kHz, cpu10: 4316952kHz, cpu11: 4323036kHz, cpu12: 4316951kHz, cpu13: 4313429kHz, cpu14: 4276596kHz, cpu15: 4316945kHz, cpu16: 4329285kHz, cpu17: 4338778kHz, cpu18: 4313460kHz, cpu19: 4316955kHz, cpu2: 4328860kHz, cpu20: 4316939kHz, cpu21: 4316952kHz, cpu22: 4301678kHz, cpu23: 4314289kHz, cpu24: 4285605kHz, cpu25: 4275357kHz, cpu26: 4291998kHz, cpu27: 4291996kHz, cpu28: 4267045kHz, cpu29: 4316957kHz, cpu3: 4301262kHz, cpu30: 4316956kHz, cpu31: 4368861kHz, cpu4: 4316958kHz, cpu5: 4322983kHz, cpu6: 4298116kHz, cpu7: 4303620kHz, cpu8: 4457226kHz, cpu9: 4329246kHz, 
Sample #28, Timestamp: 1748101857, CPU_Temperature: 62°C, cpu0: 4299170kHz, cpu1: 4316945kHz, cpu10: 4267038kHz, cpu11: 4316946kHz, cpu12: 4284002kHz, cpu13: 4293736kHz, cpu14: 4279354kHz, cpu15: 4335501kHz, cpu16: 4316950kHz, cpu17: 4314553kHz, cpu18: 4291993kHz, cpu19: 4333977kHz, cpu2: 4316958kHz, cpu20: 4316949kHz, cpu21: 4320043kHz, cpu22: 4313585kHz, cpu23: 4307354kHz, cpu24: 4316960kHz, cpu25: 4341894kHz, cpu26: 4316953kHz, cpu27: 4273086kHz, cpu28: 4292004kHz, cpu29: 4314824kHz, cpu3: 4331143kHz, cpu30: 4323081kHz, cpu31: 4309037kHz, cpu4: 4320202kHz, cpu5: 4292005kHz, cpu6: 4316931kHz, cpu7: 4332055kHz, cpu8: 4328488kHz, cpu9: 4310523kHz, 
Sample #29, Timestamp: 1748101858, CPU_Temperature: 62°C, cpu0: 4280144kHz, cpu1: 4316961kHz, cpu10: 4299092kHz, cpu11: 4284649kHz, cpu12: 4292007kHz, cpu13: 4299507kHz, cpu14: 4365295kHz, cpu15: 4383585kHz, cpu16: 4323046kHz, cpu17: 4300158kHz, cpu18: 4295903kHz, cpu19: 4299875kHz, cpu2: 4339485kHz, cpu20: 4291987kHz, cpu21: 4316948kHz, cpu22: 4260664kHz, cpu23: 4285623kHz, cpu24: 4344985kHz, cpu25: 4310092kHz, cpu26: 4301328kHz, cpu27: 4329324kHz, cpu28: 4295355kHz, cpu29: 4316952kHz, cpu3: 4273125kHz, cpu30: 4316947kHz, cpu31: 4279345kHz, cpu4: 4277341kHz, cpu5: 4314929kHz, cpu6: 4316953kHz, cpu7: 4306090kHz, cpu8: 4315401kHz, cpu9: 4398323kHz, 
Sample #30, Timestamp: 1748101858, CPU_Temperature: 62°C, cpu0: 4310650kHz, cpu1: 4316751kHz, cpu10: 4303776kHz, cpu11: 4336412kHz, cpu12: 4304880kHz, cpu13: 4316949kHz, cpu14: 4304314kHz, cpu15: 4337205kHz, cpu16: 4292838kHz, cpu17: 4291998kHz, cpu18: 4291994kHz, cpu19: 4271840kHz, cpu2: 4338426kHz, cpu20: 4309015kHz, cpu21: 4318525kHz, cpu22: 4340037kHz, cpu23: 4333676kHz, cpu24: 4310193kHz, cpu25: 4287911kHz, cpu26: 4335564kHz, cpu27: 4324328kHz, cpu28: 4319304kHz, cpu29: 4291994kHz, cpu3: 4282083kHz, cpu30: 4260705kHz, cpu31: 4301652kHz, cpu4: 4292005kHz, cpu5: 4279338kHz, cpu6: 4279342kHz, cpu7: 4295088kHz, cpu8: 4307608kHz, cpu9: 4320161kHz, 
Sample #31, Timestamp: 1748101859, CPU_Temperature: 62°C, cpu0: 4292002kHz, cpu1: 4309459kHz, cpu10: 4279340kHz, cpu11: 4278480kHz, cpu12: 4291997kHz, cpu13: 4322361kHz, cpu14: 4303792kHz, cpu15: 4316951kHz, cpu16: 4292153kHz, cpu17: 4298033kHz, cpu18: 4285689kHz, cpu19: 4291942kHz, cpu2: 4304402kHz, cpu20: 4310335kHz, cpu21: 4291993kHz, cpu22: 4354268kHz, cpu23: 4350887kHz, cpu24: 4297213kHz, cpu25: 4299137kHz, cpu26: 4323092kHz, cpu27: 4303092kHz, cpu28: 4315328kHz, cpu29: 4298029kHz, cpu3: 4306086kHz, cpu30: 4299925kHz, cpu31: 4292004kHz, cpu4: 4321099kHz, cpu5: 4316943kHz, cpu6: 4306640kHz, cpu7: 4304194kHz, cpu8: 4277801kHz, cpu9: 4316946kHz, 
