Scehdulre Latency test
Current CPU threads:  12
Starting hackbench..
cyclictest latency measurement:
# /dev/cpu_dma_latency set to 0us
policy: fifo: loadavg: 138.09 205.17 96.78 610/1223 4964          

T:11 ( 4964) P:80 I:200 C:     54 Min:   4680 Act:    5734 Avg:    5431 Max:   11468
[14Apolicy: fifo: loadavg: 138.09 205.17 96.78 881/1223 4964          

T: 0 ( 4953) P:80 I:200 C:   1192 Min:   4631 Act:    5607 Avg:    6521 Max:  123341
T: 1 ( 4954) P:80 I:200 C:    882 Min:   4462 Act:    5222 Avg:    6007 Max:   78867
T: 2 ( 4955) P:80 I:200 C:    854 Min:   4138 Act:    4960 Avg:    5581 Max:   11212
T: 3 ( 4956) P:80 I:200 C:    368 Min:   4065 Act:    6049 Avg:    5448 Max:   14717
T: 4 ( 4957) P:80 I:200 C:    393 Min:   4767 Act:    5464 Avg:    6291 Max:   32024
T: 5 ( 4958) P:80 I:200 C:    715 Min:   5033 Act:    6241 Avg:    7033 Max:   46258
T: 6 ( 4959) P:80 I:200 C:    730 Min:   4675 Act:    5365 Avg:    6478 Max:   20000
T: 7 ( 4960) P:80 I:200 C:    709 Min:   5001 Act:    6622 Avg:    6680 Max:   27734
T: 8 ( 4961) P:80 I:200 C:    735 Min:   4874 Act:   12754 Avg:    6240 Max:   12754
T: 9 ( 4962) P:80 I:200 C:    700 Min:   4709 Act:    5434 Avg:    6340 Max:   62319
T:10 ( 4963) P:80 I:200 C:    732 Min:   4918 Act:    5676 Avg:    6661 Max:   47985
T:11 ( 4964) P:80 I:200 C:    171 Min:   4652 Act:    6826 Avg:    5504 Max:   11468
[14Apolicy: fifo: loadavg: 138.09 205.17 96.78 905/1223 4964          

T: 0 ( 4953) P:80 I:200 C:   1253 Min:   4631 Act:    5475 Avg:    6492 Max:  123341
T: 1 ( 4954) P:80 I:200 C:    942 Min:   4462 Act:    6457 Avg:    6017 Max:   78867
T: 2 ( 4955) P:80 I:200 C:    914 Min:   4138 Act:    5534 Avg:    5561 Max:   11212
T: 3 ( 4956) P:80 I:200 C:    429 Min:   4065 Act:    4775 Avg:    5443 Max:   14717
T: 4 ( 4957) P:80 I:200 C:    454 Min:   4767 Act:    5983 Avg:    6283 Max:   32024
T: 5 ( 4958) P:80 I:200 C:    776 Min:   5033 Act:   11488 Avg:    7041 Max:   46258
T: 6 ( 4959) P:80 I:200 C:    790 Min:   4675 Act:    5468 Avg:    6452 Max:   20000
T: 7 ( 4960) P:80 I:200 C:    770 Min:   5001 Act:    5567 Avg:    6644 Max:   27734
T: 8 ( 4961) P:80 I:200 C:    795 Min:   4874 Act:    7186 Avg:    6250 Max:   12754
T: 9 ( 4962) P:80 I:200 C:    761 Min:   4709 Act:    5703 Avg:    6373 Max:   62319
T:10 ( 4963) P:80 I:200 C:    793 Min:   4918 Act:    6265 Avg:    6664 Max:   47985
T:11 ( 4964) P:80 I:200 C:    232 Min:   4608 Act:    5412 Avg:    5536 Max:   11468
[14Apolicy: fifo: loadavg: 138.09 205.17 96.78 957/1223 4964          

T: 0 ( 4953) P:80 I:200 C:   1322 Min:   4631 Act:    5223 Avg:    6469 Max:  123341
T: 1 ( 4954) P:80 I:200 C:   1011 Min:   4462 Act:    6726 Avg:    6007 Max:   78867
T: 2 ( 4955) P:80 I:200 C:    983 Min:   4138 Act:    6764 Avg:    5565 Max:   11212
T: 3 ( 4956) P:80 I:200 C:    498 Min:   4065 Act:    5174 Avg:    5418 Max:   14717
T: 4 ( 4957) P:80 I:200 C:    523 Min:   4767 Act:    6021 Avg:    6281 Max:   32024
T: 5 ( 4958) P:80 I:200 C:    845 Min:   5033 Act:    6848 Avg:    6991 Max:   46258
T: 6 ( 4959) P:80 I:200 C:    859 Min:   4675 Act:    6398 Avg:    6455 Max:   20000
T: 7 ( 4960) P:80 I:200 C:    839 Min:   5001 Act:    7700 Avg:    6623 Max:   27734
T: 8 ( 4961) P:80 I:200 C:    864 Min:   4874 Act:    5341 Avg:    6258 Max:   12754
T: 9 ( 4962) P:80 I:200 C:    830 Min:   4709 Act:    6613 Avg:    6347 Max:   62319
T:10 ( 4963) P:80 I:200 C:    862 Min:   4918 Act:    5902 Avg:    6645 Max:   47985
T:11 ( 4964) P:80 I:200 C:    301 Min:   4546 Act:    6572 Avg:    5561 Max:   11468
[14Apolicy: fifo: loadavg: 138.09 205.17 96.78 940/1223 4964          

T: 0 ( 4953) P:80 I:200 C:   1433 Min:   4631 Act:    5624 Avg:    6444 Max:  123341
T: 1 ( 4954) P:80 I:200 C:   1122 Min:   4462 Act:    6416 Avg:    6020 Max:   78867
T: 2 ( 4955) P:80 I:200 C:   1094 Min:   4138 Act:    4821 Avg:    5561 Max:   11212
T: 3 ( 4956) P:80 I:200 C:    608 Min:   4065 Act:    6141 Avg:    5408 Max:   14717
T: 4 ( 4957) P:80 I:200 C:    633 Min:   4767 Act:    5696 Avg:    6320 Max:   32024
T: 5 ( 4958) P:80 I:200 C:    956 Min:   5033 Act:    5916 Avg:    6966 Max:   46258
T: 6 ( 4959) P:80 I:200 C:    970 Min:   4675 Act:    5667 Avg:    6447 Max:   20000
T: 7 ( 4960) P:80 I:200 C:    949 Min:   5001 Act:    5591 Avg:    6617 Max:   27734
T: 8 ( 4961) P:80 I:200 C:    975 Min:   4874 Act:    7465 Avg:    6308 Max:   12754
T: 9 ( 4962) P:80 I:200 C:    940 Min:   4709 Act:    5185 Avg:    6328 Max:   62319
T:10 ( 4963) P:80 I:200 C:    973 Min:   4918 Act:    6764 Avg:    6625 Max:   47985
T:11 ( 4964) P:80 I:200 C:    411 Min:   4546 Act:    7179 Avg:    5610 Max:   11468
[14Apolicy: fifo: loadavg: 138.09 205.17 96.78 940/1223 4964          

T: 0 ( 4953) P:80 I:200 C:   1504 Min:   4631 Act:    5452 Avg:    6439 Max:  123341
T: 1 ( 4954) P:80 I:200 C:   1194 Min:   4462 Act:    5367 Avg:    6020 Max:   78867
T: 2 ( 4955) P:80 I:200 C:   1165 Min:   4096 Act:    6282 Avg:    5556 Max:   11212
T: 3 ( 4956) P:80 I:200 C:    680 Min:   4065 Act:    4742 Avg:    5414 Max:   14717
T: 4 ( 4957) P:80 I:200 C:    705 Min:   4767 Act:    5349 Avg:    6303 Max:   32024
T: 5 ( 4958) P:80 I:200 C:   1027 Min:   5033 Act:    7378 Avg:    7028 Max:   72307
T: 6 ( 4959) P:80 I:200 C:   1041 Min:   4675 Act:    5906 Avg:    6427 Max:   20000
T: 7 ( 4960) P:80 I:200 C:   1021 Min:   5001 Act:    5524 Avg:    6608 Max:   27734
T: 8 ( 4961) P:80 I:200 C:   1047 Min:   4874 Act:    5515 Avg:    6300 Max:   12754
T: 9 ( 4962) P:80 I:200 C:   1012 Min:   4709 Act:    6341 Avg:    6317 Max:   62319
T:10 ( 4963) P:80 I:200 C:   1044 Min:   4918 Act:    7845 Avg:    6617 Max:   47985
T:11 ( 4964) P:80 I:200 C:    483 Min:   4546 Act:    6360 Avg:    5635 Max:   11468
[14Apolicy: fifo: loadavg: 138.09 205.17 96.78 932/1223 4964          

T: 0 ( 4953) P:80 I:200 C:   1560 Min:   4631 Act:    5665 Avg:    6428 Max:  123341
T: 1 ( 4954) P:80 I:200 C:   1249 Min:   4462 Act:    6207 Avg:    6018 Max:   78867
T: 2 ( 4955) P:80 I:200 C:   1221 Min:   4096 Act:    5483 Avg:    5551 Max:   11212
T: 3 ( 4956) P:80 I:200 C:    736 Min:   4065 Act:    4534 Avg:    5424 Max:   14717
T: 4 ( 4957) P:80 I:200 C:    761 Min:   4767 Act:    5461 Avg:    6295 Max:   32024
T: 5 ( 4958) P:80 I:200 C:   1083 Min:   5033 Act:    6008 Avg:    7034 Max:   72307
T: 6 ( 4959) P:80 I:200 C:   1097 Min:   4675 Act:    6520 Avg:    6430 Max:   20000
T: 7 ( 4960) P:80 I:200 C:   1077 Min:   5001 Act:    5697 Avg:    6603 Max:   27734
T: 8 ( 4961) P:80 I:200 C:   1102 Min:   4874 Act:    6264 Avg:    6308 Max:   12754
T: 9 ( 4962) P:80 I:200 C:   1068 Min:   4709 Act:    5512 Avg:    6309 Max:   62319
T:10 ( 4963) P:80 I:200 C:   1100 Min:   4918 Act:    6265 Avg:    6623 Max:   47985
T:11 ( 4964) P:80 I:200 C:    539 Min:   4546 Act:    6944 Avg:    5666 Max:   11468
[14Apolicy: fifo: loadavg: 138.09 205.17 96.78 993/1223 4964          

T: 0 ( 4953) P:80 I:200 C:   1649 Min:   4631 Act:   13749 Avg:    6437 Max:  123341
T: 1 ( 4954) P:80 I:200 C:   1338 Min:   4462 Act:    5144 Avg:    6013 Max:   78867
T: 2 ( 4955) P:80 I:200 C:   1310 Min:   4096 Act:    5212 Avg:    5541 Max:   11212
T: 3 ( 4956) P:80 I:200 C:    824 Min:   3965 Act:    6311 Avg:    5437 Max:   14717
T: 4 ( 4957) P:80 I:200 C:    849 Min:   4767 Act:    6057 Avg:    6299 Max:   32024
T: 5 ( 4958) P:80 I:200 C:   1172 Min:   5033 Act:    9193 Avg:    7023 Max:   72307
T: 6 ( 4959) P:80 I:200 C:   1186 Min:   4675 Act:    8282 Avg:    6420 Max:   20000
T: 7 ( 4960) P:80 I:200 C:   1165 Min:   5001 Act:    6573 Avg:    6607 Max:   27734
T: 8 ( 4961) P:80 I:200 C:   1191 Min:   4874 Act:    6093 Avg:    6303 Max:   12754
T: 9 ( 4962) P:80 I:200 C:   1156 Min:   4709 Act:    5236 Avg:    6298 Max:   62319
T:10 ( 4963) P:80 I:200 C:   1189 Min:   4918 Act:    7125 Avg:    6613 Max:   47985
T:11 ( 4964) P:80 I:200 C:    628 Min:   4546 Act:    5761 Avg:    5697 Max:   11468
[14Apolicy: fifo: loadavg: 138.09 205.17 96.78 923/1223 4964          

T: 0 ( 4953) P:80 I:200 C:   1727 Min:   4631 Act:    6760 Avg:    6423 Max:  123341
T: 1 ( 4954) P:80 I:200 C:   1416 Min:   4462 Act:    6550 Avg:    6016 Max:   78867
T: 2 ( 4955) P:80 I:200 C:   1388 Min:   4096 Act:    6088 Avg:    5543 Max:   12244
T: 3 ( 4956) P:80 I:200 C:    902 Min:   3965 Act:    5243 Avg:    5445 Max:   14717
T: 4 ( 4957) P:80 I:200 C:    927 Min:   4767 Act:    7724 Avg:    6312 Max:   32024
T: 5 ( 4958) P:80 I:200 C:   1250 Min:   5002 Act:    6251 Avg:    7016 Max:   72307
T: 6 ( 4959) P:80 I:200 C:   1264 Min:   4675 Act:    5972 Avg:    6409 Max:   20000
T: 7 ( 4960) P:80 I:200 C:   1243 Min:   5001 Act:    6507 Avg:    6632 Max:   36576
T: 8 ( 4961) P:80 I:200 C:   1269 Min:   4874 Act:    6628 Avg:    6302 Max:   12754
T: 9 ( 4962) P:80 I:200 C:   1234 Min:   4709 Act:    5660 Avg:    6301 Max:   62319
T:10 ( 4963) P:80 I:200 C:   1267 Min:   4918 Act:    8442 Avg:    6608 Max:   47985
T:11 ( 4964) P:80 I:200 C:    706 Min:   4546 Act:    5625 Avg:    5746 Max:   14626
[14Apolicy: fifo: loadavg: 138.09 205.17 96.78 968/1223 4964          

T: 0 ( 4953) P:80 I:200 C:   1812 Min:   4631 Act:    5397 Avg:    6411 Max:  123341
T: 1 ( 4954) P:80 I:200 C:   1502 Min:   4462 Act:    5112 Avg:    6041 Max:   78867
T: 2 ( 4955) P:80 I:200 C:   1474 Min:   4096 Act:    5691 Avg:    5538 Max:   12244
T: 3 ( 4956) P:80 I:200 C:    988 Min:   3965 Act:    4977 Avg:    5441 Max:   14717
T: 4 ( 4957) P:80 I:200 C:   1013 Min:   4767 Act:    7507 Avg:    6307 Max:   32024
T: 5 ( 4958) P:80 I:200 C:   1336 Min:   5002 Act:    6896 Avg:    6994 Max:   72307
T: 6 ( 4959) P:80 I:200 C:   1350 Min:   4675 Act:    6807 Avg:    6397 Max:   20000
T: 7 ( 4960) P:80 I:200 C:   1329 Min:   5001 Act:    6321 Avg:    6623 Max:   36576
T: 8 ( 4961) P:80 I:200 C:   1355 Min:   4874 Act:    5931 Avg:    6297 Max:   12754
T: 9 ( 4962) P:80 I:200 C:   1320 Min:   4709 Act:    5754 Avg:    6297 Max:   62319
T:10 ( 4963) P:80 I:200 C:   1352 Min:   4918 Act:    8521 Avg:    6598 Max:   47985
T:11 ( 4964) P:80 I:200 C:    791 Min:   4546 Act:    5544 Avg:    5767 Max:   14626
[14Apolicy: fifo: loadavg: 138.09 205.17 96.78 963/1223 4964          

T: 0 ( 4953) P:80 I:200 C:   1887 Min:   4631 Act:    5205 Avg:    6406 Max:  123341
T: 1 ( 4954) P:80 I:200 C:   1577 Min:   4462 Act:    5711 Avg:    6044 Max:   78867
T: 2 ( 4955) P:80 I:200 C:   1549 Min:   4096 Act:    6110 Avg:    5535 Max:   12244
T: 3 ( 4956) P:80 I:200 C:   1063 Min:   3965 Act:    6118 Avg:    5444 Max:   14717
T: 4 ( 4957) P:80 I:200 C:   1088 Min:   4767 Act:    6193 Avg:    6316 Max:   32024
T: 5 ( 4958) P:80 I:200 C:   1410 Min:   5002 Act:    6760 Avg:    6972 Max:   72307
T: 6 ( 4959) P:80 I:200 C:   1424 Min:   4675 Act:    6180 Avg:    6386 Max:   20000
T: 7 ( 4960) P:80 I:200 C:   1404 Min:   5001 Act:    6399 Avg:    6617 Max:   36576
T: 8 ( 4961) P:80 I:200 C:   1430 Min:   4874 Act:    6220 Avg:    6288 Max:   12754
T: 9 ( 4962) P:80 I:200 C:   1395 Min:   4709 Act:    6314 Avg:    6291 Max:   62319
T:10 ( 4963) P:80 I:200 C:   1427 Min:   4918 Act:    6005 Avg:    6589 Max:   47985
