1747351583 LOGGER STARTED
Sample #26, Timestamp: 1747351597, CPU_Temperature: 63°C, cpu0: 1800004kHz, cpu1: 1800004kHz, cpu10: 1499992kHz, cpu11: 1499996kHz, cpu12: 1500000kHz, cpu13: 1499998kHz, cpu14: 1499993kHz, cpu15: 1499998kHz, cpu2: 1800000kHz, cpu3: 1800004kHz, cpu4: 1799995kHz, cpu5: 1800004kHz, cpu6: 1799995kHz, cpu7: 1799990kHz, cpu8: 1499991kHz, cpu9: 1499996kHz, 
Sample #27, Timestamp: 1747351597, CPU_Temperature: 63°C, cpu0: 1800004kHz, cpu1: 1858368kHz, cpu10: 1499987kHz, cpu11: 1500008kHz, cpu12: 1500000kHz, cpu13: 1500004kHz, cpu14: 1499990kHz, cpu15: 1499987kHz, cpu2: 1800004kHz, cpu3: 1847814kHz, cpu4: 1899995kHz, cpu5: 1810100kHz, cpu6: 1800009kHz, cpu7: 1772792kHz, cpu8: 1400004kHz, cpu9: 1300002kHz, 
Sample #28, Timestamp: 1747351598, CPU_Temperature: 63°C, cpu0: 1100000kHz, cpu1: 1100002kHz, cpu10: 999991kHz, cpu11: 999994kHz, cpu12: 900001kHz, cpu13: 899999kHz, cpu14: 899995kHz, cpu15: 899990kHz, cpu2: 900009kHz, cpu3: 899997kHz, cpu4: 900009kHz, cpu5: 899995kHz, cpu6: 899995kHz, cpu7: 899995kHz, cpu8: 800001kHz, cpu9: 799997kHz, 
Sample #29, Timestamp: 1747351598, CPU_Temperature: 63°C, cpu0: 900006kHz, cpu1: 900002kHz, cpu10: 800003kHz, cpu11: 710705kHz, cpu12: 754070kHz, cpu13: 755059kHz, cpu14: 799998kHz, cpu15: 800004kHz, cpu2: 842739kHz, cpu3: 900002kHz, cpu4: 829268kHz, cpu5: 841597kHz, cpu6: 842102kHz, cpu7: 848682kHz, cpu8: 800002kHz, cpu9: 800000kHz, 
Sample #30, Timestamp: 1747351599, CPU_Temperature: 58°C, cpu0: 865858kHz, cpu1: 899995kHz, cpu10: 799996kHz, cpu11: 666441kHz, cpu12: 729186kHz, cpu13: 800000kHz, cpu14: 789847kHz, cpu15: 735927kHz, cpu2: 899995kHz, cpu3: 900002kHz, cpu4: 899993kHz, cpu5: 899997kHz, cpu6: 1100000kHz, cpu7: 1499992kHz, cpu8: 1199995kHz, cpu9: 1258497kHz, 
Sample #31, Timestamp: 1747351600, CPU_Temperature: 58°C, cpu0: 1800009kHz, cpu1: 1800004kHz, cpu10: 1500007kHz, cpu11: 1499999kHz, cpu12: 1499997kHz, cpu13: 1499992kHz, cpu14: 1500002kHz, cpu15: 1500009kHz, cpu2: 1800004kHz, cpu3: 1800000kHz, cpu4: 1799995kHz, cpu5: 1800000kHz, cpu6: 1800000kHz, cpu7: 1799995kHz, cpu8: 1500000kHz, cpu9: 1500003kHz, 
Sample #32, Timestamp: 1747351600, CPU_Temperature: 61°C, cpu0: 1800000kHz, cpu1: 1800004kHz, cpu10: 1500006kHz, cpu11: 1499996kHz, cpu12: 1500002kHz, cpu13: 1499995kHz, cpu14: 1500009kHz, cpu15: 1499995kHz, cpu2: 1800000kHz, cpu3: 1799995kHz, cpu4: 1800009kHz, cpu5: 1800000kHz, cpu6: 1799995kHz, cpu7: 1799986kHz, cpu8: 1499997kHz, cpu9: 1499988kHz, 
Sample #33, Timestamp: 1747351601, CPU_Temperature: 61°C, cpu0: 1859630kHz, cpu1: 1819859kHz, cpu10: 1500011kHz, cpu11: 1499996kHz, cpu12: 1500008kHz, cpu13: 1500004kHz, cpu14: 1499996kHz, cpu15: 1500001kHz, cpu2: 1799995kHz, cpu3: 1895839kHz, cpu4: 1815559kHz, cpu5: 1894318kHz, cpu6: 1842943kHz, cpu7: 1849470kHz, cpu8: 1499990kHz, cpu9: 1500002kHz, 
Sample #34, Timestamp: 1747351601, CPU_Temperature: 61°C, cpu0: 1800000kHz, cpu1: 1800000kHz, cpu10: 1499995kHz, cpu11: 1499992kHz, cpu12: 1499997kHz, cpu13: 1500009kHz, cpu14: 1499996kHz, cpu15: 1499999kHz, cpu2: 1869872kHz, cpu3: 1843403kHz, cpu4: 1800000kHz, cpu5: 1824095kHz, cpu6: 1800000kHz, cpu7: 1799990kHz, cpu8: 1499998kHz, cpu9: 1499995kHz, 
Sample #35, Timestamp: 1747351602, CPU_Temperature: 63°C, cpu0: 1874017kHz, cpu1: 1805185kHz, cpu10: 1499997kHz, cpu11: 1499994kHz, cpu12: 1500004kHz, cpu13: 1400007kHz, cpu14: 1300000kHz, cpu15: 1199996kHz, cpu2: 1399996kHz, cpu3: 1300006kHz, cpu4: 1200000kHz, cpu5: 1100000kHz, cpu6: 1099994kHz, cpu7: 1100002kHz, cpu8: 899998kHz, cpu9: 900006kHz, 
