1747100305 LOGGER STARTED
Sample #28, Timestamp: 1747100322, CPU_Temperature: 64°C, cpu0: 1800000kHz, cpu1: 1800000kHz, cpu10: 1500002kHz, cpu11: 1499996kHz, cpu12: 1500009kHz, cpu13: 1438512kHz, cpu14: 1432583kHz, cpu15: 1409029kHz, cpu2: 1800009kHz, cpu3: 1800000kHz, cpu4: 1796353kHz, cpu5: 1728124kHz, cpu6: 1749373kHz, cpu7: 1699995kHz, cpu8: 1500000kHz, cpu9: 1499989kHz, 
Sample #29, Timestamp: 1747100322, CPU_Temperature: 64°C, cpu0: 1800000kHz, cpu1: 1799995kHz, cpu10: 1499996kHz, cpu11: 1475801kHz, cpu12: 1500008kHz, cpu13: 1499996kHz, cpu14: 1499985kHz, cpu15: 1474141kHz, cpu2: 1700000kHz, cpu3: 1700874kHz, cpu4: 1800000kHz, cpu5: 1727283kHz, cpu6: 1799995kHz, cpu7: 1800000kHz, cpu8: 1499993kHz, cpu9: 1500013kHz, 
Sample #30, Timestamp: 1747100322, CPU_Temperature: 64°C, cpu0: 1800004kHz, cpu1: 1772033kHz, cpu10: 1452763kHz, cpu11: 1428258kHz, cpu12: 1500014kHz, cpu13: 1432411kHz, cpu14: 1500003kHz, cpu15: 1409774kHz, cpu2: 1771418kHz, cpu3: 1700000kHz, cpu4: 1800004kHz, cpu5: 1799990kHz, cpu6: 1800000kHz, cpu7: 1800000kHz, cpu8: 1500000kHz, cpu9: 1403212kHz, 
Sample #31, Timestamp: 1747100323, CPU_Temperature: 66°C, cpu0: 1799995kHz, cpu1: 1796822kHz, cpu10: 1499995kHz, cpu11: 1499998kHz, cpu12: 1499987kHz, cpu13: 1423532kHz, cpu14: 1462403kHz, cpu15: 1431398kHz, cpu2: 1800004kHz, cpu3: 1699995kHz, cpu4: 1747673kHz, cpu5: 1799990kHz, cpu6: 1800004kHz, cpu7: 1779701kHz, cpu8: 1499999kHz, cpu9: 1500001kHz, 
Sample #32, Timestamp: 1747100323, CPU_Temperature: 66°C, cpu0: 1800004kHz, cpu1: 1800004kHz, cpu10: 1431386kHz, cpu11: 1500000kHz, cpu12: 1448429kHz, cpu13: 1499993kHz, cpu14: 1499991kHz, cpu15: 1472473kHz, cpu2: 1800000kHz, cpu3: 1800000kHz, cpu4: 1800004kHz, cpu5: 1724527kHz, cpu6: 1800009kHz, cpu7: 1704526kHz, cpu8: 1500003kHz, cpu9: 1499990kHz, 
Sample #33, Timestamp: 1747100324, CPU_Temperature: 66°C, cpu0: 1752646kHz, cpu1: 1800004kHz, cpu10: 1459144kHz, cpu11: 1499992kHz, cpu12: 1500009kHz, cpu13: 1499994kHz, cpu14: 1500001kHz, cpu15: 1499989kHz, cpu2: 1738682kHz, cpu3: 1785446kHz, cpu4: 1800009kHz, cpu5: 1800004kHz, cpu6: 1763320kHz, cpu7: 1700000kHz, cpu8: 1500003kHz, cpu9: 1500001kHz, 
Sample #34, Timestamp: 1747100324, CPU_Temperature: 64°C, cpu0: 1800000kHz, cpu1: 1800000kHz, cpu10: 1500005kHz, cpu11: 1500012kHz, cpu12: 1500000kHz, cpu13: 1500002kHz, cpu14: 1500005kHz, cpu15: 1500005kHz, cpu2: 1800004kHz, cpu3: 1800004kHz, cpu4: 1800000kHz, cpu5: 1799995kHz, cpu6: 1799995kHz, cpu7: 1800004kHz, cpu8: 1500008kHz, cpu9: 1402290kHz, 
Sample #35, Timestamp: 1747100324, CPU_Temperature: 64°C, cpu0: 1800000kHz, cpu1: 1799990kHz, cpu10: 1500000kHz, cpu11: 1500013kHz, cpu12: 1499994kHz, cpu13: 1499997kHz, cpu14: 1499992kHz, cpu15: 1500004kHz, cpu2: 1799995kHz, cpu3: 1800004kHz, cpu4: 1800000kHz, cpu5: 1800004kHz, cpu6: 1800009kHz, cpu7: 1800000kHz, cpu8: 1500002kHz, cpu9: 1499991kHz, 
Sample #36, Timestamp: 1747100325, CPU_Temperature: 64°C, cpu0: 1800000kHz, cpu1: 1799995kHz, cpu10: 1499997kHz, cpu11: 1499995kHz, cpu12: 1500001kHz, cpu13: 1500005kHz, cpu14: 1500003kHz, cpu15: 1499998kHz, cpu2: 1799990kHz, cpu3: 1799995kHz, cpu4: 1799995kHz, cpu5: 1799995kHz, cpu6: 1800000kHz, cpu7: 1799995kHz, cpu8: 1499996kHz, cpu9: 1500009kHz, 
Sample #37, Timestamp: 1747100325, CPU_Temperature: 66°C, cpu0: 1800000kHz, cpu1: 1800000kHz, cpu10: 1499987kHz, cpu11: 1500002kHz, cpu12: 1499999kHz, cpu13: 1499992kHz, cpu14: 1499996kHz, cpu15: 1499990kHz, cpu2: 1800004kHz, cpu3: 1799995kHz, cpu4: 1800004kHz, cpu5: 1800004kHz, cpu6: 1799995kHz, cpu7: 1800004kHz, cpu8: 1499995kHz, cpu9: 1499995kHz, 
Sample #38, Timestamp: 1747100326, CPU_Temperature: 66°C, cpu0: 1800000kHz, cpu1: 1800000kHz, cpu10: 1499998kHz, cpu11: 1499988kHz, cpu12: 1500004kHz, cpu13: 1499995kHz, cpu14: 1499999kHz, cpu15: 1499998kHz, cpu2: 1800000kHz, cpu3: 1799995kHz, cpu4: 1800000kHz, cpu5: 1800004kHz, cpu6: 1799995kHz, cpu7: 1800000kHz, cpu8: 1500001kHz, cpu9: 1500008kHz, 
Sample #39, Timestamp: 1747100326, CPU_Temperature: 66°C, cpu0: 1800000kHz, cpu1: 1800000kHz, cpu10: 1499994kHz, cpu11: 1500011kHz, cpu12: 1499998kHz, cpu13: 1499998kHz, cpu14: 1500008kHz, cpu15: 1499993kHz, cpu2: 1800000kHz, cpu3: 1800000kHz, cpu4: 1799995kHz, cpu5: 1800004kHz, cpu6: 1800004kHz, cpu7: 1799995kHz, cpu8: 1500005kHz, cpu9: 1500001kHz, 
Sample #40, Timestamp: 1747100326, CPU_Temperature: 66°C, cpu0: 1800009kHz, cpu1: 1835958kHz, cpu10: 1499994kHz, cpu11: 1500008kHz, cpu12: 1500002kHz, cpu13: 1499991kHz, cpu14: 1499992kHz, cpu15: 1500005kHz, cpu2: 1849595kHz, cpu3: 1800004kHz, cpu4: 1799995kHz, cpu5: 1800004kHz, cpu6: 1800000kHz, cpu7: 1799995kHz, cpu8: 1500007kHz, cpu9: 1499994kHz, 
Sample #41, Timestamp: 1747100327, CPU_Temperature: 66°C, cpu0: 1800000kHz, cpu1: 1800004kHz, cpu10: 1499995kHz, cpu11: 1500003kHz, cpu12: 1499998kHz, cpu13: 1500012kHz, cpu14: 1499998kHz, cpu15: 1499994kHz, cpu2: 1800004kHz, cpu3: 1800004kHz, cpu4: 1828140kHz, cpu5: 1800000kHz, cpu6: 1799990kHz, cpu7: 1800000kHz, cpu8: 1500010kHz, cpu9: 1499994kHz, 
Sample #42, Timestamp: 1747100327, CPU_Temperature: 66°C, cpu0: 1855326kHz, cpu1: 1800000kHz, cpu10: 1499997kHz, cpu11: 1500000kHz, cpu12: 1500006kHz, cpu13: 1499990kHz, cpu14: 1500006kHz, cpu15: 1499987kHz, cpu2: 1800000kHz, cpu3: 1800004kHz, cpu4: 1845560kHz, cpu5: 1800000kHz, cpu6: 1799995kHz, cpu7: 1799995kHz, cpu8: 1499992kHz, cpu9: 1500007kHz, 
Sample #43, Timestamp: 1747100328, CPU_Temperature: 64°C, cpu0: 1800004kHz, cpu1: 1800000kHz, cpu10: 1500002kHz, cpu11: 1499999kHz, cpu12: 1499999kHz, cpu13: 1500005kHz, cpu14: 1499992kHz, cpu15: 1499995kHz, cpu2: 1799995kHz, cpu3: 1800000kHz, cpu4: 1800000kHz, cpu5: 1800000kHz, cpu6: 1799995kHz, cpu7: 1799995kHz, cpu8: 1499993kHz, cpu9: 1500003kHz, 
Sample #44, Timestamp: 1747100328, CPU_Temperature: 64°C, cpu0: 1802152kHz, cpu1: 1852315kHz, cpu10: 1500008kHz, cpu11: 1499984kHz, cpu12: 1499993kHz, cpu13: 1500012kHz, cpu14: 1500000kHz, cpu15: 1499996kHz, cpu2: 1800000kHz, cpu3: 1847241kHz, cpu4: 1862854kHz, cpu5: 1854889kHz, cpu6: 1819152kHz, cpu7: 1800009kHz, cpu8: 1500003kHz, cpu9: 1500004kHz, 
Sample #45, Timestamp: 1747100328, CPU_Temperature: 64°C, cpu0: 1812427kHz, cpu1: 1800000kHz, cpu10: 1500009kHz, cpu11: 1499996kHz, cpu12: 1499996kHz, cpu13: 1499993kHz, cpu14: 1499997kHz, cpu15: 1500003kHz, cpu2: 1799995kHz, cpu3: 1800000kHz, cpu4: 1800004kHz, cpu5: 1799990kHz, cpu6: 1821387kHz, cpu7: 1799990kHz, cpu8: 1499993kHz, cpu9: 1500002kHz, 
Sample #46, Timestamp: 1747100329, CPU_Temperature: 64°C, cpu0: 1838216kHz, cpu1: 1799990kHz, cpu10: 1499991kHz, cpu11: 1499998kHz, cpu12: 1499989kHz, cpu13: 1499997kHz, cpu14: 1500006kHz, cpu15: 1499992kHz, cpu2: 1799995kHz, cpu3: 1841607kHz, cpu4: 1827051kHz, cpu5: 1827791kHz, cpu6: 1800004kHz, cpu7: 1820450kHz, cpu8: 1500000kHz, cpu9: 1500014kHz, 
Sample #47, Timestamp: 1747100329, CPU_Temperature: 64°C, cpu0: 1800000kHz, cpu1: 1800004kHz, cpu10: 1500001kHz, cpu11: 1500003kHz, cpu12: 1500005kHz, cpu13: 1500002kHz, cpu14: 1500000kHz, cpu15: 1500001kHz, cpu2: 1799995kHz, cpu3: 1799995kHz, cpu4: 1799995kHz, cpu5: 1836415kHz, cpu6: 1799995kHz, cpu7: 1800000kHz, cpu8: 1499989kHz, cpu9: 1499996kHz, 
Sample #48, Timestamp: 1747100329, CPU_Temperature: 64°C, cpu0: 1800000kHz, cpu1: 1800000kHz, cpu10: 1499988kHz, cpu11: 1500009kHz, cpu12: 1500006kHz, cpu13: 1499983kHz, cpu14: 1500009kHz, cpu15: 1500004kHz, cpu2: 1800004kHz, cpu3: 1799995kHz, cpu4: 1800008kHz, cpu5: 1799995kHz, cpu6: 1799995kHz, cpu7: 1799990kHz, cpu8: 1499985kHz, cpu9: 1500012kHz, 
Sample #49, Timestamp: 1747100330, CPU_Temperature: 64°C, cpu0: 1800000kHz, cpu1: 1802881kHz, cpu10: 1500004kHz, cpu11: 1499990kHz, cpu12: 1500013kHz, cpu13: 1500003kHz, cpu14: 1499994kHz, cpu15: 1499998kHz, cpu2: 1868870kHz, cpu3: 1847843kHz, cpu4: 1800000kHz, cpu5: 1805232kHz, cpu6: 1812863kHz, cpu7: 1800000kHz, cpu8: 1500001kHz, cpu9: 1499993kHz, 
