1747353586 LOGGER STARTED
Sample #30, Timestamp: 1747353602, CPU_Temperature: 56°C, cpu0: 1000000kHz, cpu1: 1000007kHz, cpu10: 1000004kHz, cpu11: 1099999kHz, cpu12: 1199998kHz, cpu13: 1199998kHz, cpu14: 1200001kHz, cpu15: 1200004kHz, cpu2: 1500007kHz, cpu3: 1500000kHz, cpu4: 1600004kHz, cpu5: 1600008kHz, cpu6: 1600008kHz, cpu7: 1600000kHz, cpu8: 1399989kHz, cpu9: 1399992kHz, 
Sample #31, Timestamp: 1747353603, CPU_Temperature: 56°C, cpu0: 1800004kHz, cpu1: 1799990kHz, cpu10: 1500005kHz, cpu11: 1500001kHz, cpu12: 1500001kHz, cpu13: 1500001kHz, cpu14: 1500010kHz, cpu15: 1499997kHz, cpu2: 1800000kHz, cpu3: 1799995kHz, cpu4: 1800004kHz, cpu5: 1800004kHz, cpu6: 1800000kHz, cpu7: 1894778kHz, cpu8: 1499996kHz, cpu9: 1499985kHz, 
Sample #32, Timestamp: 1747353603, CPU_Temperature: 61°C, cpu0: 1800000kHz, cpu1: 1855397kHz, cpu10: 1500005kHz, cpu11: 1499990kHz, cpu12: 1499999kHz, cpu13: 1500002kHz, cpu14: 1499995kHz, cpu15: 1499990kHz, cpu2: 1856863kHz, cpu3: 1800004kHz, cpu4: 1800000kHz, cpu5: 1831454kHz, cpu6: 1810627kHz, cpu7: 1800004kHz, cpu8: 1500012kHz, cpu9: 1500005kHz, 
Sample #33, Timestamp: 1747353604, CPU_Temperature: 61°C, cpu0: 1868629kHz, cpu1: 1857085kHz, cpu10: 1500002kHz, cpu11: 1499992kHz, cpu12: 1500004kHz, cpu13: 1499989kHz, cpu14: 1500002kHz, cpu15: 1499993kHz, cpu2: 1841985kHz, cpu3: 1839083kHz, cpu4: 1816618kHz, cpu5: 1849192kHz, cpu6: 1895464kHz, cpu7: 1900000kHz, cpu8: 1499995kHz, cpu9: 1499997kHz, 
Sample #34, Timestamp: 1747353604, CPU_Temperature: 61°C, cpu0: 1817471kHz, cpu1: 1865298kHz, cpu10: 1500002kHz, cpu11: 1499995kHz, cpu12: 1500010kHz, cpu13: 1499999kHz, cpu14: 1499990kHz, cpu15: 1499987kHz, cpu2: 1849290kHz, cpu3: 1854424kHz, cpu4: 1849529kHz, cpu5: 1860407kHz, cpu6: 1864327kHz, cpu7: 1900004kHz, cpu8: 1499996kHz, cpu9: 1500001kHz, 
Sample #35, Timestamp: 1747353604, CPU_Temperature: 61°C, cpu0: 1867224kHz, cpu1: 1858336kHz, cpu10: 1500003kHz, cpu11: 1499994kHz, cpu12: 1500000kHz, cpu13: 1499991kHz, cpu14: 1500000kHz, cpu15: 1499998kHz, cpu2: 1839931kHz, cpu3: 1844951kHz, cpu4: 1854796kHz, cpu5: 1849013kHz, cpu6: 1900009kHz, cpu7: 1886937kHz, cpu8: 1500010kHz, cpu9: 1500003kHz, 
Sample #36, Timestamp: 1747353605, CPU_Temperature: 61°C, cpu0: 1400003kHz, cpu1: 1399996kHz, cpu10: 999997kHz, cpu11: 1000001kHz, cpu12: 999996kHz, cpu13: 1000003kHz, cpu14: 900005kHz, cpu15: 900005kHz, cpu2: 999997kHz, cpu3: 1000005kHz, cpu4: 899990kHz, cpu5: 899993kHz, cpu6: 900000kHz, cpu7: 900000kHz, cpu8: 799997kHz, cpu9: 799998kHz, 
Sample #37, Timestamp: 1747353605, CPU_Temperature: 55°C, cpu0: 899993kHz, cpu1: 899997kHz, cpu10: 799998kHz, cpu11: 800003kHz, cpu12: 799997kHz, cpu13: 799994kHz, cpu14: 800001kHz, cpu15: 799999kHz, cpu2: 900002kHz, cpu3: 900004kHz, cpu4: 900006kHz, cpu5: 899990kHz, cpu6: 900004kHz, cpu7: 900009kHz, cpu8: 799998kHz, cpu9: 800003kHz, 
Sample #38, Timestamp: 1747353606, CPU_Temperature: 55°C, cpu0: 900000kHz, cpu1: 899997kHz, cpu10: 799999kHz, cpu11: 800003kHz, cpu12: 800003kHz, cpu13: 799997kHz, cpu14: 800008kHz, cpu15: 799995kHz, cpu2: 899993kHz, cpu3: 899997kHz, cpu4: 900004kHz, cpu5: 900000kHz, cpu6: 1100002kHz, cpu7: 1300003kHz, cpu8: 1099996kHz, cpu9: 1300004kHz, 
Sample #39, Timestamp: 1747353607, CPU_Temperature: 60°C, cpu0: 1800000kHz, cpu1: 1799995kHz, cpu10: 1499984kHz, cpu11: 1499995kHz, cpu12: 1499996kHz, cpu13: 1499995kHz, cpu14: 1499999kHz, cpu15: 1499999kHz, cpu2: 1799995kHz, cpu3: 1899990kHz, cpu4: 1842221kHz, cpu5: 1882028kHz, cpu6: 1900000kHz, cpu7: 1859189kHz, cpu8: 1500001kHz, cpu9: 1499997kHz, 
