1747348943 LOGGER STARTED
Sample #48, Timestamp: 1747348985, CPU_Temperature: 63°C, cpu0: 3642673kHz, cpu1: 3642676kHz, cpu10: 3642661kHz, cpu11: 3642678kHz, cpu2: 3642680kHz, cpu3: 3642671kHz, cpu4: 3642659kHz, cpu5: 3642682kHz, cpu6: 3642665kHz, cpu7: 3642674kHz, cpu8: 3642675kHz, cpu9: 3642610kHz, 
Sample #49, Timestamp: 1747348986, CPU_Temperature: 63°C, cpu0: 3642663kHz, cpu1: 3642672kHz, cpu10: 3642665kHz, cpu11: 3642677kHz, cpu2: 3642675kHz, cpu3: 3642657kHz, cpu4: 3642664kHz, cpu5: 3642668kHz, cpu6: 3642675kHz, cpu7: 3642671kHz, cpu8: 3642671kHz, cpu9: 3642662kHz, 
Sample #50, Timestamp: 1747348986, CPU_Temperature: 63°C, cpu0: 3642666kHz, cpu1: 3642663kHz, cpu10: 3642294kHz, cpu11: 3642664kHz, cpu2: 3642668kHz, cpu3: 3642558kHz, cpu4: 3642664kHz, cpu5: 3642662kHz, cpu6: 3642671kHz, cpu7: 3642678kHz, cpu8: 3642537kHz, cpu9: 3642299kHz, 
Sample #51, Timestamp: 1747348988, CPU_Temperature: 63°C, cpu0: 3642671kHz, cpu1: 3642673kHz, cpu10: 3642626kHz, cpu11: 3642661kHz, cpu2: 3642668kHz, cpu3: 3642215kHz, cpu4: 3642543kHz, cpu5: 3642676kHz, cpu6: 3642677kHz, cpu7: 3642669kHz, cpu8: 3642670kHz, cpu9: 3642494kHz, 
Sample #52, Timestamp: 1747348988, CPU_Temperature: 63°C, cpu0: 3642668kHz, cpu1: 3642674kHz, cpu10: 3642574kHz, cpu11: 3642681kHz, cpu2: 3642665kHz, cpu3: 3642252kHz, cpu4: 3642634kHz, cpu5: 3642656kHz, cpu6: 3642663kHz, cpu7: 3642669kHz, cpu8: 3642663kHz, cpu9: 3642525kHz, 
Sample #53, Timestamp: 1747348988, CPU_Temperature: 63°C, cpu0: 3642680kHz, cpu1: 3642660kHz, cpu10: 3642582kHz, cpu11: 3642668kHz, cpu2: 3642663kHz, cpu3: 3642670kHz, cpu4: 3642574kHz, cpu5: 3642661kHz, cpu6: 3642671kHz, cpu7: 3642667kHz, cpu8: 3642663kHz, cpu9: 3642661kHz, 
Sample #54, Timestamp: 1747348989, CPU_Temperature: 63°C, cpu0: 3642665kHz, cpu1: 3642658kHz, cpu10: 3642667kHz, cpu11: 3642658kHz, cpu2: 3642673kHz, cpu3: 3642658kHz, cpu4: 3642440kHz, cpu5: 3642598kHz, cpu6: 3642674kHz, cpu7: 3642664kHz, cpu8: 3642667kHz, cpu9: 3642459kHz, 
Sample #55, Timestamp: 1747348990, CPU_Temperature: 63°C, cpu0: 3642670kHz, cpu1: 3642673kHz, cpu10: 3642665kHz, cpu11: 3642678kHz, cpu2: 3642664kHz, cpu3: 3642660kHz, cpu4: 3642650kHz, cpu5: 3642661kHz, cpu6: 3642671kHz, cpu7: 3642668kHz, cpu8: 3642670kHz, cpu9: 3642661kHz, 
Sample #56, Timestamp: 1747348990, CPU_Temperature: 63°C, cpu0: 3642663kHz, cpu1: 3642670kHz, cpu10: 3642619kHz, cpu11: 3642668kHz, cpu2: 3642657kHz, cpu3: 3642645kHz, cpu4: 3642660kHz, cpu5: 3642655kHz, cpu6: 3642665kHz, cpu7: 3642660kHz, cpu8: 3642666kHz, cpu9: 3642665kHz, 
Sample #57, Timestamp: 1747348991, CPU_Temperature: 63°C, cpu0: 3642670kHz, cpu1: 3642670kHz, cpu10: 3642568kHz, cpu11: 3642672kHz, cpu2: 3642658kHz, cpu3: 3642505kHz, cpu4: 3642538kHz, cpu5: 3642670kHz, cpu6: 3642664kHz, cpu7: 3642663kHz, cpu8: 3642674kHz, cpu9: 3642359kHz, 
