Sample #27, Timestamp: 1747088916, CPU_Temperature: 64°C, cpu0: 1800013kHz, cpu1: 1800000kHz, cpu10: 1500002kHz, cpu11: 1499992kHz, cpu12: 1499995kHz, cpu13: 1500000kHz, cpu14: 1499982kHz, cpu15: 1500009kHz, cpu2: 1802903kHz, cpu3: 1799990kHz, cpu4: 1874042kHz, cpu5: 1800009kHz, cpu6: 1800000kHz, cpu7: 1819210kHz, cpu8: 1499991kHz, cpu9: 1499995kHz, 
Sample #28, Timestamp: 1747088916, CPU_Temperature: 64°C, cpu0: 1800004kHz, cpu1: 1799995kHz, cpu10: 1499998kHz, cpu11: 1500009kHz, cpu12: 1499998kHz, cpu13: 1500005kHz, cpu14: 1499991kHz, cpu15: 1500002kHz, cpu2: 1800004kHz, cpu3: 1846015kHz, cpu4: 1803789kHz, cpu5: 1803761kHz, cpu6: 1844988kHz, cpu7: 1829639kHz, cpu8: 1500009kHz, cpu9: 1500006kHz, 
Sample #29, Timestamp: 1747088917, CPU_Temperature: 64°C, cpu0: 1803383kHz, cpu1: 1821547kHz, cpu10: 1500002kHz, cpu11: 1500005kHz, cpu12: 1500003kHz, cpu13: 1499993kHz, cpu14: 1499992kHz, cpu15: 1500004kHz, cpu2: 1828836kHz, cpu3: 1800009kHz, cpu4: 1799995kHz, cpu5: 1881057kHz, cpu6: 1800000kHz, cpu7: 1883948kHz, cpu8: 1499994kHz, cpu9: 1499995kHz, 
Sample #30, Timestamp: 1747088917, CPU_Temperature: 63°C, cpu0: 1882962kHz, cpu1: 1808169kHz, cpu10: 1499992kHz, cpu11: 1500007kHz, cpu12: 1500005kHz, cpu13: 1500005kHz, cpu14: 1500011kHz, cpu15: 1500002kHz, cpu2: 1800004kHz, cpu3: 1799995kHz, cpu4: 1804340kHz, cpu5: 1829450kHz, cpu6: 1818990kHz, cpu7: 1868635kHz, cpu8: 1499999kHz, cpu9: 1500011kHz, 
Sample #31, Timestamp: 1747088918, CPU_Temperature: 63°C, cpu0: 1800000kHz, cpu1: 1800000kHz, cpu10: 1499991kHz, cpu11: 1500001kHz, cpu12: 1500003kHz, cpu13: 1500000kHz, cpu14: 1500010kHz, cpu15: 1499989kHz, cpu2: 1800004kHz, cpu3: 1800004kHz, cpu4: 1877808kHz, cpu5: 1899995kHz, cpu6: 1900000kHz, cpu7: 1900000kHz, cpu8: 1500008kHz, cpu9: 1499999kHz, 
Sample #32, Timestamp: 1747088918, CPU_Temperature: 64°C, cpu0: 1868665kHz, cpu1: 1857822kHz, cpu10: 1499988kHz, cpu11: 1499992kHz, cpu12: 1500011kHz, cpu13: 1500008kHz, cpu14: 1499988kHz, cpu15: 1500007kHz, cpu2: 1866807kHz, cpu3: 1816505kHz, cpu4: 1824052kHz, cpu5: 1867711kHz, cpu6: 1831724kHz, cpu7: 1807750kHz, cpu8: 1500012kHz, cpu9: 1500004kHz, 
Sample #33, Timestamp: 1747088919, CPU_Temperature: 64°C, cpu0: 1832488kHz, cpu1: 1891548kHz, cpu10: 1500002kHz, cpu11: 1499998kHz, cpu12: 1499984kHz, cpu13: 1500003kHz, cpu14: 1500004kHz, cpu15: 1500008kHz, cpu2: 1846793kHz, cpu3: 1852417kHz, cpu4: 1871579kHz, cpu5: 1899995kHz, cpu6: 1900000kHz, cpu7: 1895171kHz, cpu8: 1500005kHz, cpu9: 1500014kHz, 
Sample #34, Timestamp: 1747088920, CPU_Temperature: 64°C, cpu0: 1802876kHz, cpu1: 1799995kHz, cpu10: 1499999kHz, cpu11: 1499990kHz, cpu12: 1500008kHz, cpu13: 1500002kHz, cpu14: 1500000kHz, cpu15: 1500006kHz, cpu2: 1800004kHz, cpu3: 1900000kHz, cpu4: 1891180kHz, cpu5: 1833150kHz, cpu6: 1891361kHz, cpu7: 1800000kHz, cpu8: 1500002kHz, cpu9: 1499997kHz, 
Sample #35, Timestamp: 1747088920, CPU_Temperature: 64°C, cpu0: 1824019kHz, cpu1: 1857146kHz, cpu10: 1500005kHz, cpu11: 1500002kHz, cpu12: 1499994kHz, cpu13: 1499994kHz, cpu14: 1500004kHz, cpu15: 1499992kHz, cpu2: 1868482kHz, cpu3: 1800009kHz, cpu4: 1871787kHz, cpu5: 1877595kHz, cpu6: 1900000kHz, cpu7: 1895392kHz, cpu8: 1499995kHz, cpu9: 1500003kHz, 
Sample #36, Timestamp: 1747088921, CPU_Temperature: 64°C, cpu0: 1900009kHz, cpu1: 1869779kHz, cpu10: 1500007kHz, cpu11: 1499998kHz, cpu12: 1499999kHz, cpu13: 1499985kHz, cpu14: 1499987kHz, cpu15: 1500002kHz, cpu2: 1858038kHz, cpu3: 1899995kHz, cpu4: 1852353kHz, cpu5: 1896740kHz, cpu6: 1827369kHz, cpu7: 1899990kHz, cpu8: 1499993kHz, cpu9: 1499994kHz, 
Sample #37, Timestamp: 1747088921, CPU_Temperature: 64°C, cpu0: 1900000kHz, cpu1: 1821161kHz, cpu10: 1499993kHz, cpu11: 1500005kHz, cpu12: 1499997kHz, cpu13: 1500007kHz, cpu14: 1500002kHz, cpu15: 1499992kHz, cpu2: 1899995kHz, cpu3: 1871047kHz, cpu4: 1828390kHz, cpu5: 1895313kHz, cpu6: 1900009kHz, cpu7: 1867505kHz, cpu8: 1500002kHz, cpu9: 1499989kHz, 
Sample #38, Timestamp: 1747088922, CPU_Temperature: 66°C, cpu0: 1800000kHz, cpu1: 1900004kHz, cpu10: 1499998kHz, cpu11: 1499990kHz, cpu12: 1500015kHz, cpu13: 1500008kHz, cpu14: 1499997kHz, cpu15: 1499990kHz, cpu2: 1899990kHz, cpu3: 1891498kHz, cpu4: 1891498kHz, cpu5: 1883016kHz, cpu6: 1891859kHz, cpu7: 1900009kHz, cpu8: 1499988kHz, cpu9: 1499995kHz, 
