Current logical CPUs: 16
Test duration: 30 seconds
=== Scheduler Context Switching Test ===

>>> Measuring per-thread context switches with pidstat -w -t
Starting stress-ng again for detailed tracking...

--- pidstat -w -t output ---
Linux 6.12.27-amd64 (localhost) 	05/15/25 	_x86_64_	(16 CPU)

22:11:11      UID      TGID       TID   cswch/s nvcswch/s  Command
22:11:14        0         -        38      1.00      0.00  |__migration/6
22:11:14        0        44         -      1.00      0.00  migration/8
22:11:14        0         -        44      1.00      0.00  |__migration/8
22:11:14        0        50         -      1.00      0.00  migration/9
22:11:14        0         -        50      1.00      0.00  |__migration/9
22:11:14        0        56         -      1.00      0.00  migration/10
22:11:14        0         -        56      1.00      0.00  |__migration/10
22:11:14        0        62         -      1.00      0.00  migration/11
22:11:14        0         -        62      1.00      0.00  |__migration/11
22:11:14        0        68         -      1.00      0.00  migration/12
22:11:14        0         -        68      1.00      0.00  |__migration/12
22:11:14        0        74         -      1.00      0.00  migration/13
22:11:14        0         -        74      1.00      0.00  |__migration/13
22:11:14        0        80         -      1.00      0.00  migration/14
22:11:14        0         -        80      1.00      0.00  |__migration/14
22:11:14        0        81         -      1.00      0.00  ksoftirqd/14
22:11:14        0         -        81      1.00      0.00  |__ksoftirqd/14
22:11:14        0        86         -      1.00      0.00  migration/15
22:11:14        0         -        86      1.00      0.00  |__migration/15
22:11:14        0        92         -      1.00      0.00  migration/1
22:11:14        0         -        92      1.00      0.00  |__migration/1
22:11:14        0        94         -      2.00      0.00  kworker/1:0-mm_percpu_wq
22:11:14        0         -        94      2.00      0.00  |__kworker/1:0-mm_percpu_wq
22:11:14        0        98         -      1.00      0.00  migration/3
22:11:14        0         -        98      1.00      0.00  |__migration/3
22:11:14        0       104         -      1.00      0.00  migration/5
22:11:14        0         -       104      1.00      0.00  |__migration/5
22:11:14        0       110         -      1.00      0.00  migration/7
22:11:14        0         -       110      1.00      0.00  |__migration/7
22:11:14        0       136         -      2.00      0.00  kcompactd0
22:11:14        0         -       136      2.00      0.00  |__kcompactd0
22:11:14        0       142         -     27.00      0.00  irq/9-acpi
22:11:14        0         -       142     27.00      0.00  |__irq/9-acpi
22:11:14        0       292         -     20.00      3.00  kworker/0:1H-acpi_thermal_pm
22:11:14        0         -       292     20.00      3.00  |__kworker/0:1H-acpi_thermal_pm
22:11:14        0       350         -      1.00      0.00  kworker/1:1H-kblockd
22:11:14        0         -       350      1.00      0.00  |__kworker/1:1H-kblockd
22:11:14        0       527         -     88.00     28.00  usb-storage
22:11:14        0         -       527     88.00     28.00  |__usb-storage
22:11:14        0       915         -     28.00     37.00  kworker/0:4-kacpi_notify
22:11:14        0         -       915     28.00     37.00  |__kworker/0:4-kacpi_notify
22:11:14        0       916         -     54.00      0.00  kworker/14:2H-kblockd
22:11:14        0         -       916     54.00      0.00  |__kworker/14:2H-kblockd
22:11:14        0       923         -      2.00      0.00  kworker/0:7-kacpi_notify
22:11:14        0         -       923      2.00      0.00  |__kworker/0:7-kacpi_notify
22:11:14        0       928         -      9.00      0.00  kworker/0:12-kacpi_notify
22:11:14        0         -       928      9.00      0.00  |__kworker/0:12-kacpi_notify
22:11:14        0       929         -     13.00      1.00  kworker/0:13-kacpi_notify
22:11:14        0         -       929     13.00      1.00  |__kworker/0:13-kacpi_notify
22:11:14        0       972         -     13.00     20.00  kworker/0:15-kec_query
22:11:14        0         -       972     13.00     20.00  |__kworker/0:15-kec_query
22:11:14        0      1015         -      6.00      2.00  kworker/0:16-kacpi_notify
22:11:14        0         -      1015      6.00      2.00  |__kworker/0:16-kacpi_notify
22:11:14        0      1502         -      2.00      0.00  kworker/0:18-kacpi_notify
22:11:14        0         -      1502      2.00      0.00  |__kworker/0:18-kacpi_notify
22:11:14        0      1503         -     35.00      3.00  kworker/u64:0-kec
22:11:14        0         -      1503     35.00      3.00  |__kworker/u64:0-kec
22:11:14        0      2802         -      1.00      0.00  kworker/2:5-mm_percpu_wq
22:11:14        0         -      2802      1.00      0.00  |__kworker/2:5-mm_percpu_wq
22:11:14        0      5359         -      2.00      0.00  kworker/0:20-kacpi_notify
22:11:14        0         -      5359      2.00      0.00  |__kworker/0:20-kacpi_notify
