Time (s),CPU Temp (°C),Avg CPU0–7 (GHz),Avg CPU8–15 (GHz)
401,64,1.85174575,1.50000025
402,66,1.864149625,1.4999998749999999
403,66,1.8592974583333333,1.499997125
404,64,1.8691135,1.49999675
405,66,1.89999925,1.499999
406,65,1.9000011875,1.512499625
407,65,1.910273375,1.5999994375
408,66,1.99999915625,1.5999999062499999
409,63.75,2.600278140625,1.84791390625
410,59.25,2.80525940625,2.061404765625
411,57.625,2.8593699843750002,1.969655109375
412,57,2.6806511607142856,1.9175231785714286
413,57,2.749994890625,1.831146328125
414,56.75,2.76564034375,1.71170796875
415,55.75,2.7289245,1.884517828125
416,55,2.72032175,1.8255747142857144
417,55,2.839476875,1.820724859375
418,55,2.76749278125,1.800818609375
419,55,2.758872984375,1.794085875
420,55,2.8249904821428573,1.928783625
421,54,2.800068671875,1.872985546875
422,55,2.644744859375,1.947811953125
423,54,2.664141375,1.85774125
424,53,2.7192830357142856,1.7817134285714287
425,53.875,2.757493,1.783121515625
426,54,2.5863774375,1.9198510156250002
427,54,2.81713784375,1.899369578125
428,53.142857142857146,2.8126675178571428,1.8316240535714285
429,53,2.7630695156250002,1.972373609375
430,52.25,2.445008640625,1.8908304375
431,52,2.8172205714285714,1.827913642857143
432,52,2.920220109375,1.8608048125
433,52,2.868745578125,2.03341396875
434,51.375,2.593509609375,1.7525730625
435,51.625,2.630400265625,1.7579985
436,51.42857142857143,2.7537265357142857,1.7650103392857144
437,51,2.829027,1.90779709375
438,51,2.721702171875,1.75805053125
439,51,2.620542017857143,1.9049915357142857
440,51,2.831208703125,1.960069328125
441,51,2.73403590625,1.9210283750000001
442,51,2.749448921875,2.01228375
443,51,2.672760390625,1.77601340625
444,51,2.7584563035714287,2.149221375
445,51,2.75895834375,1.88614453125
446,51,2.65800265625,1.785265453125
447,51,2.839075578125,1.98072821875
448,51,2.7812879464285714,1.7664199107142857
449,50.875,2.838946921875,1.92259865625
450,50,2.7411795625,1.910688359375
451,50,2.7673719375,1.828182609375
452,50,2.7476303035714285,1.8796408214285714
453,51,2.724136984375,1.768365703125
454,49,2.80043603125,1.78759165625
455,51,2.7994438392857144,1.7735303214285714
456,50.125,2.650126375,1.92099121875
457,50,2.91630146875,2.1320433125
458,50,2.570194890625,2.017979203125
459,49.142857142857146,2.746178392857143,1.9456963035714285
460,49.75,2.914414234375,2.06489975
461,50,2.834743421875,1.939569671875
462,49.25,2.580469,1.8776055624999999
463,49,2.67738134375,1.7514348750000002
464,49.714285714285715,2.767522517857143,1.9343010535714285
465,48.75,2.557472125,1.8916691875
466,48.625,2.75352790625,1.864992265625
467,48.375,2.643220109375,1.904159109375
468,48,2.7637656607142858,2.065637875
469,48.666666666666664,2.8317553125,1.9490812916666667
470,50,3.799998625,2.799999125
472,89,3.787495,2.799995875
473,89,3.695650625,2.79999475
474,92,3.681593375,2.770536375
475,92,1.949999875,1.549996125
476,81.5,1.779818375,1.4535191250000001
477,68,1.7968439375,1.49839875
478,67,1.79999975,1.49999575
479,67,1.80340175,1.49999875
480,67,1.803654,1.5000025
481,67,1.826090125,1.4999972499999998
482,66,1.8159886875,1.499999625
483,67,1.8427184374999999,1.5
484,66,1.838834,1.49999925
485,66.5,1.8239080625,1.5000015
486,66.5,1.83118225,1.5000005625
487,66,1.84334075,1.49999675
488,66,1.8704578125,1.5000000624999998
489,66,1.8556665,1.499994625
490,67,1.86376,1.5000010625
491,66.5,1.8458550625,1.5
492,66,1.8673549375,1.5000029375000001
493,66,1.890204875,1.5000025
494,66,1.873869875,1.5000008125000002
495,66.66666666666667,1.7186226249999998,1.418381625
497,62,1.2424669375000001,0.9562498125000001
499,64.5,1.8677698125000002,1.5000001250000001
500,65,1.862667,1.4999996875
501,65,1.8791688125000001,1.4999985625
502,66,1.8970449375,1.4999976875
503,66,1.880595125,1.500000125
504,66,1.8999996875,1.5062509375
